Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
TENT4A	"LAK-1, PAPD7, POLK, POLS, TRF4, TRF4-1"	"Terminal nucleotidyltransferase 4A"	Q5XG87	"mRNA processing"	"Nucleotidyltransferase, Transferase"	"Evidence at protein level"
TENT4B	"PAPD5, TRF4-2, TUT3"	"Terminal nucleotidyltransferase 4B"	Q8NDF8	"Cell cycle, Cell division, Mitosis, mRNA processing, rRNA processing"	"Nucleotidyltransferase, RNA-binding, Transferase"	"Evidence at protein level"
TENT5A	"C6orf37, FAM46A, FLJ20037"	"Terminal nucleotidyltransferase 5A"	Q96IP4		"Nucleotidyltransferase, Transferase"	"Evidence at protein level"
TENT5B	"FAM46B, MGC16491"	"Terminal nucleotidyltransferase 5B"	Q96A09		"Nucleotidyltransferase, Transferase"	"Evidence at protein level"
TENT5C	"FAM46C, FLJ20202"	"Terminal nucleotidyltransferase 5C"	Q5VWP2	"Host-virus interaction"	"Nucleotidyltransferase, RNA-binding, Transferase"	"Evidence at protein level"
TENT5D	"CT1.26, CT112, FAM46D, MGC26999"	"Terminal nucleotidyltransferase 5D"	Q8NEK8		"Nucleotidyltransferase, Transferase"	"Evidence at protein level"
TEP1	"p240, TLP1, TP1, TROVE1, VAULT2"	"Telomerase associated protein 1"	Q99973		"Ribonucleoprotein, RNA-binding"	"Evidence at protein level"
TEPP		"Testis, prostate and placenta expressed"	Q6URK8			"Evidence at protein level"
TEPSIN	"C17orf56, ENTHD2, FLJ31528"	"TEPSIN adaptor related protein complex 4 accessory protein"	Q96N21			"Evidence at protein level"
TERB1	"CCDC79, FLJ35894"	"Telomere repeat binding bouquet formation protein 1"	Q8NA31	Meiosis		"Evidence at protein level"
TERB2	"C15orf43, MGC33951"	"Telomere repeat binding bouquet formation protein 2"	Q8NHR7			"Evidence at protein level"
TERF1	"PIN2, TRBF1, TRF, TRF1"	"Telomeric repeat binding factor 1"	P54274	"Cell cycle, Cell division, Mitosis"	DNA-binding	"Evidence at protein level"
TERF2	"TRBF2, TRF2"	"Telomeric repeat binding factor 2"	Q15554	"Cell cycle"	DNA-binding	"Evidence at protein level"
TERF2IP	RAP1	"TERF2 interacting protein"	Q9NYB0	"Transcription, Transcription regulation"	Activator	"Evidence at protein level"
TERT	"EST2, hEST2, TCS1, TP2, TRT"	"Telomerase reverse transcriptase"	O14746		"DNA-binding, Nucleotidyltransferase, Ribonucleoprotein, RNA-directed DNA polymerase, Transferase"	"Evidence at protein level"
TES	"DKFZP586B2022, TESS-2, TESTIN"	"Testin LIM domain protein"	Q9UGI8			"Evidence at protein level"
TESC	"CHP3, FLJ20607, TSC"	Tescalcin	Q96BS2	"Differentiation, Protein transport, Transport"	"Protein kinase inhibitor"	"Evidence at protein level"
TESK1		"Testis associated actin remodelling kinase 1"	Q15569		"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
TESK2		"Testis associated actin remodelling kinase 2"	Q96S53		"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
TESMIN	"CXCDC2, MTL5"	"Testis expressed metallothionein like protein"	Q9Y4I5	"Differentiation, Meiosis, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
TESPA1	"ITPRID3, KIAA0748"	"Thymocyte expressed, positive selection associated 1"	A2RU30			"Evidence at protein level"
TET1	"bA119F7.1, CXXC6, KIAA1676, LCX"	"Tet methylcytosine dioxygenase 1"	Q8NFU7	"Transcription, Transcription regulation"	"Activator, Chromatin regulator, Developmental protein, Dioxygenase, DNA-binding, Oxidoreductase, Repressor"	"Evidence at protein level"
TET2	"FLJ20032, KIAA1546"	"Tet methylcytosine dioxygenase 2"	Q6N021	"Cell cycle"	"Chromatin regulator, Dioxygenase, DNA-binding, Oxidoreductase"	"Evidence at protein level"
TET3	"hCG_40738, MGC22014"	"Tet methylcytosine dioxygenase 3"	O43151		"Chromatin regulator, Developmental protein, Dioxygenase, DNA-binding, Oxidoreductase"	"Evidence at protein level"
TEX10	"bA208F1.2, FLJ20287, Ipi1"	"Testis expressed 10"	Q9NXF1			"Evidence at protein level"
TEX101	"CT131, MGC4766, SGRG, SPATA44, TES101RP"	"Testis expressed 101"	Q9BY14			"Evidence at protein level"
TEX11	"MZIP4, Spo22, TGC1, TSGA3, ZIP4"	"Testis expressed 11"	Q8IYF3	Meiosis		"Evidence at protein level"
TEX12		"Testis expressed 12"	Q9BXU0	Meiosis		"Evidence at protein level"
TEX13A		"Testis expressed 13A"	Q9BXU3			"Evidence at protein level"
TEX13B	"TGC3B, TSGA5"	"Testis expressed 13B"	Q9BXU2			"Evidence at protein level"
TEX13C		"TEX13 family member C"	A0A0J9YWL9			"Evidence at transcript level"
TEX13D		"TEX13 family member D"	A0A0J9YY54			"Evidence at protein level"
TEX14	CT113	"Testis expressed 14, intercellular bridge forming factor"	Q8IWB6	"Cell cycle, Cell division, Mitosis"		"Evidence at protein level"
TEX15	CT42	"Testis expressed 15, meiosis and synapsis associated"	Q9BXT5	"Differentiation, DNA damage, DNA repair, Meiosis, RNA-mediated gene silencing, Spermatogenesis"		"Evidence at protein level"
TEX19	FLJ35767	"Testis expressed 19"	Q8NA77	"Differentiation, Meiosis, Spermatogenesis"		"Evidence at protein level"
TEX2	"HT008, KIAA1738, TMEM96"	"Testis expressed 2"	Q8IWB9	"Lipid transport, Transport"		"Evidence at protein level"
TEX22		"Testis expressed 22"	C9J3V5			"Evidence at protein level"
TEX26	"C13orf26, MGC40178"	"Testis expressed 26"	Q8N6G2			"Evidence at protein level"
TEX261	"MGC32043, TEG-261"	"Testis expressed 261"	Q6UWH6			"Evidence at protein level"
TEX264	"FLJ13935, ZSIG11"	"Testis expressed 264, ER-phagy receptor"	Q9Y6I9	"Autophagy, DNA damage, DNA repair"		"Evidence at protein level"
TEX28	"CXorf2, fTEX"	"Testis expressed 28"	O15482			"Evidence at protein level"
TEX29	"bA474D23.1, C13orf16, MGC35169"	"Testis expressed 29"	Q8N6K0			"Evidence at protein level"
TEX30	C13orf27	"Testis expressed 30"	Q5JUR7			"Evidence at protein level"
TEX33	"C22orf33, EAN57, MGC35206"	"Testis expressed 33"	O43247			"Evidence at protein level"
TEX35	"C1orf49, DKFZP564J047, TSC24"	"Testis expressed 35"	Q5T0J7			"Evidence at protein level"
TEX36	"bA383C5.1, C10orf122"	"Testis expressed 36"	Q5VZQ5			"Evidence at protein level"
TEX37	"C2orf51, FLJ25369, TSC21"	"Testis expressed 37"	Q96LM6			"Evidence at protein level"
TEX38	"ATPAF1-AS1, C1orf223, LOC374973, THEG4"	"Testis expressed 38"	Q6PEX7			"Evidence at protein level"
TEX43	"C5orf48, FLJ27505, MGC163367, MGC163369, Tseg7"	"Testis expressed 43"	Q6ZNM6			"Evidence at protein level"
TEX44	"C2orf57, MGC35154"	"Testis expressed 44"	Q53QW1			"Evidence at protein level"
TEX45	"C19orf45, FLJ35784"	"Testis expressed 45"	Q8NA69			"Evidence at protein level"
TEX46	C1orf234	"Testis expressed 46"	H3BTG2			"Evidence at protein level"
TEX47	"C7orf62, DYBLUF, MGC26647"	"Testis expressed 47"	Q8TBZ9			"Evidence at protein level"
TEX48		"Testis expressed 48"	A0A1B0GUV7			"Evidence at protein level"
TEX49	LINC00935	"Testis expressed 49"	A0A1B0GTD5			"Evidence at protein level"
TEX50		"Testis expressed 50"	A0A1B0GTY4			"Evidence at protein level"
TEX51		"Testis expressed 51"	A0A1B0GUA7			"Evidence at transcript level"
TEX52		"Testis expressed 52"	A6NCN8			"Evidence at protein level"
TEX53		"Testis expressed 53"	A0A1B0GU33			"Evidence at protein level"
TEX54		"Testis expressed 54"	A0A1B0GVG6			"Evidence at protein level"
TEX55	"C3orf30, FLJ32859, TSCPA"	"Testis expressed 55"	Q96M34			"Evidence at protein level"
TEX9		"Testis expressed 9"	Q8N6V9			"Evidence at protein level"
TF	"PRO1557, PRO2086"	Transferrin	P02787	"Ion transport, Iron transport, Transport"		"Evidence at protein level"
TFAM	"TCF6, TCF6L2"	"Transcription factor A, mitochondrial"	Q00059	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFAP2A	"AP-2, AP-2alpha, AP2TF, TFAP2"	"Transcription factor AP-2 alpha"	P05549	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFAP2B	"AP-2beta, AP2-B"	"Transcription factor AP-2 beta"	Q92481	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFAP2C	"AP2-GAMMA, ERF1, hAP-2g, TFAP2G"	"Transcription factor AP-2 gamma"	Q92754	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFAP2D	"AP-2delta, TFAP2BL1"	"Transcription factor AP-2 delta"	Q7Z6R9	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFAP2E	"AP-2epsilon, AP2E"	"Transcription factor AP-2 epsilon"	Q6VUC0	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFAP4	"AP-4, bHLHc41"	"Transcription factor AP-4"	Q01664	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFB1M	"CGI-75, mtTFB"	"Transcription factor B1, mitochondrial"	Q8WVM0	"rRNA processing, Transcription, Transcription regulation"	"DNA-binding, Methyltransferase, RNA-binding, Transferase"	"Evidence at protein level"
TFB2M	"FLJ22661, FLJ23182, Hkp1"	"Transcription factor B2, mitochondrial"	Q9H5Q4	"rRNA processing, Transcription, Transcription regulation"	"Methyltransferase, RNA-binding, Transferase"	"Evidence at protein level"
TFCP2	"CP2, LBP-1C, LSF, TFCP2C"	"Transcription factor CP2"	Q12800	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TFCP2L1	"CRTR1, LBP-9"	"Transcription factor CP2 like 1"	Q9NZI6	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TFDP1	"DILC, Dp-1, DP1, DRTF1"	"Transcription factor Dp-1"	Q14186	"Cell cycle, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFDP2	Dp-2	"Transcription factor Dp-2"	Q14188	"Cell cycle, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFDP3	"CT30, E2F-like, HCA661"	"Transcription factor Dp family member 3"	Q5H9I0	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TFE3	"bHLHe33, TFEA"	"Transcription factor binding to IGHM enhancer 3"	P19532	"Adaptive immunity, Immunity, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFEB	"bHLHe35, TCFEB"	"Transcription factor EB"	P19484	"Adaptive immunity, Autophagy, Immunity, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"
TFEC	"bHLHe34, TCFEC, TFECL"	"Transcription factor EC"	O14948	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"
TFF1	"BCEI, D21S21, HP1.A, HPS2, pNR-2, pS2"	"Trefoil factor 1"	P04155		"Growth factor"	"Evidence at protein level"
TFF2	SML1	"Trefoil factor 2"	Q03403			"Evidence at protein level"
TFF3	"HITF, ITF"	"Trefoil factor 3"	Q07654			"Evidence at protein level"
TFG	"FLJ36137, SPG57, TF6"	"Trafficking from ER to golgi regulator"	Q92734	"ER-Golgi transport, Transport"		"Evidence at protein level"
TFIP11	"DKFZP434B194, Spp382, TIP39"	"Tuftelin interacting protein 11"	Q9UBB9	"Biomineralization, mRNA processing, mRNA splicing"		"Evidence at protein level"
TFPI	"EPI, LACI, TFI, TFPI1"	"Tissue factor pathway inhibitor"	P10646	"Blood coagulation, Hemostasis"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
TFPI2	"PP5, REF1, TFPI-2"	"Tissue factor pathway inhibitor 2"	P48307	"Blood coagulation, Hemostasis"	"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
TFPT	"amida, FB1, INO80F"	"TCF3 fusion partner"	P0C1Z6	"Apoptosis, DNA damage, DNA recombination, DNA repair, Transcription, Transcription regulation"		"Evidence at protein level"
TFR2	"HFE3, TFRC2"	"Transferrin receptor 2"	Q9UP52		Receptor	"Evidence at protein level"
TFRC	"CD71, p90, TFR1"	"Transferrin receptor"	P02786	"Endocytosis, Host-virus interaction"	"Host cell receptor for virus entry, Receptor, Transducer"	"Evidence at protein level"
TG	"AITD3, TGN"	Thyroglobulin	P01266	"Thyroid hormones biosynthesis"	"Hormone, Thyroid hormone"	"Evidence at protein level"
TGDS	"SDR2E1, TDPGD"	"TDP-glucose 4,6-dehydratase"	O95455		Lyase	"Evidence at protein level"
TGFA		"Transforming growth factor alpha"	P01135		"Growth factor, Mitogen"	"Evidence at protein level"
TGFB1	"CED, DPD1, TGFB, TGFbeta"	"Transforming growth factor beta 1"				"Evidence at transcript level"
TGFB1I1	"ARA55, Hic-5, TSC-5"	"Transforming growth factor beta 1 induced transcript 1"	O43294	"Differentiation, Wnt signaling pathway"	Activator	"Evidence at protein level"
TGFB2		"Transforming growth factor beta 2"	P61812		"Growth factor, Mitogen"	"Evidence at protein level"
TGFB3	"ARVD, ARVD1"	"Transforming growth factor beta 3"	P10600		"Growth factor, Mitogen"	"Evidence at protein level"
TGFBI	"BIGH3, CDB1, CDGG1, CSD1, CSD2, CSD3, LCD1"	"Transforming growth factor beta induced"	Q15582	"Cell adhesion, Sensory transduction, Vision"		"Evidence at protein level"
TGFBR1	"ACVRLK4, ALK-5, ALK5, ESS1, MSSE, TBR-i, TBRI"	"Transforming growth factor beta receptor 1"	P36897	"Apoptosis, Differentiation, Growth regulation"	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
TGFBR2	"MFS2, TBR-ii, TBRII"	"Transforming growth factor beta receptor 2"	P37173	"Apoptosis, Differentiation, Growth regulation"	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
TGFBR3	"betaglycan, BGCAN"	"Transforming growth factor beta receptor 3"	Q03167		Receptor	"Evidence at protein level"
TGFBR3L	GEMP	"Transforming growth factor beta receptor 3 like"	H3BV60			"Evidence at protein level"
TGFBRAP1	"TRAP-1, TRAP1, VPS3"	"Transforming growth factor beta receptor associated protein 1"	Q8WUH2	"Protein transport, Transport"		"Evidence at protein level"
TGIF1	"HPE4, TGIF"	"TGFB induced factor homeobox 1"	Q15583	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
TGIF2		"TGFB induced factor homeobox 2"	Q9GZN2	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TGIF2-RAB5IF	TGIF2-C20orf24	"TGIF2-RAB5IF readthrough"				"Evidence at transcript level"
TGIF2LX		"TGFB induced factor homeobox 2 like X-linked"	Q8IUE1	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TGIF2LY		"TGFB induced factor homeobox 2 like Y-linked"	Q8IUE0	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
TGM1	"ICR2, LI, LI1, TGASE, TGK"	"Transglutaminase 1"	P22735	Keratinization	"Acyltransferase, Transferase"	"Evidence at protein level"
TGM2	TGC	"Transglutaminase 2"	P21980		"Acyltransferase, Hydrolase, Protease, Transferase"	"Evidence at protein level"
TGM3	TGE	"Transglutaminase 3"	Q08188	Keratinization	"Acyltransferase, Transferase"	"Evidence at protein level"
TGM4	TGP	"Transglutaminase 4"	P49221		"Acyltransferase, Transferase"	"Evidence at protein level"
TGM5	"TGMX, TGX"	"Transglutaminase 5"	O43548		"Acyltransferase, Transferase"	"Evidence at protein level"
TGM6	"dJ734P14.3, SCA35, TGM3L, TGY"	"Transglutaminase 6"	O95932		"Acyltransferase, Transferase"	"Evidence at protein level"
TGM7	TGMZ	"Transglutaminase 7"	Q96PF1		"Acyltransferase, Transferase"	"Evidence at protein level"
TGOLN2	"TGN38, TGN46, TGN48, TGN51, TTGN2"	"Trans-golgi network protein 2"	O43493			"Evidence at protein level"
TGS1	"NCOA6IP, PIMT"	"Trimethylguanosine synthase 1"	Q96RS0	"Transcription, Transcription regulation"	"Methyltransferase, Transferase"	"Evidence at protein level"
TH	DYT5b	"Tyrosine hydroxylase"	P07101	"Catecholamine biosynthesis, Neurotransmitter biosynthesis"	"Monooxygenase, Oxidoreductase"	"Evidence at protein level"
THADA	"ARMC13, FLJ21877, GITA, KIAA1767, Trm732"	"THADA armadillo repeat containing"	Q6YHU6	"tRNA processing"		"Evidence at protein level"
THAP1	"4833431A01Rik, DYT6, FLJ10477"	"THAP domain containing 1"	Q9NVV9	"Cell cycle, Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
THAP10		"THAP domain containing 10"	Q9P2Z0		DNA-binding	"Evidence at protein level"
THAP11	"CTG-B43a, CTG-B45d, HRIHFB2206, RONIN"	"THAP domain containing 11"	Q96EK4	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
THAP12	"DAP4, P52rIPK, PRKRIR, THAP0"	"THAP domain containing 12"	O43422		DNA-binding	"Evidence at protein level"
THAP2	DKFZP564I0422	"THAP domain containing 2"	Q9H0W7		DNA-binding	"Evidence at protein level"
THAP3		"THAP domain containing 3"	Q8WTV1		DNA-binding	"Evidence at protein level"
THAP4	"CGI-36, Nb(III)"	"THAP domain containing 4"	Q8WY91		"DNA-binding, Isomerase"	"Evidence at protein level"
THAP5	DKFZp313O1132	"THAP domain containing 5"	Q7Z6K1	"Cell cycle, Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"
THAP6	MGC30052	"THAP domain containing 6"	Q8TBB0		DNA-binding	"Evidence at protein level"
THAP7	MGC10963	"THAP domain containing 7"	Q9BT49	"Transcription, Transcription regulation"	DNA-binding	"Evidence at protein level"
